Modelo,Test Score,Train Score,R2,MAE,MSE,RMSE
Regresión Lineal,0.9644474774348124,0.9634577444085011,0.9644474774348124,0.015316621672476466,0.0006252034222711522,0.025004068114431944
Árbol de decisión GridSearchCV,0.9481630880183005,0.9644476468335264,0.9481630880183005,0.019915701808549412,0.000911570049959297,0.030192218367640643
Random Forest GridSearchCV,0.9681417836807439,0.9874217104015479,0.9681417836807439,0.01456099844780691,0.0005602377674814237,0.02366934235422319
